"","CommonName","Year","ExportCountry","TotalExportWeight","TotalTotalPrice","TotalAvgUnitPrice"
"3132","Sea Perch","2018","Fiji",12498,21509,1.72
"3133","Sea Perch","2018","Hong Kong",2610,8669,3.32
"3134","Sea Perch","2018","Japan",7260,23162,3.19
"3135","Sea Perch","2018","Malaysia",26445,136293,5.15
"3136","Sea Perch","2018","New Caledonia",300,835,2.78
"3137","Sea Perch","2018","South Korea",34289,49614,1.45
"3138","Sea Perch","2018","Thailand",7002,11234,1.6
"3139","Sea Perch","2018","United States",1595,8219,5.15
"3140","Sea Perch","2018","Vietnam",1412,3639,2.58
"3141","Sea Perch","2019","Australia",21084,56553,2.68
"3142","Sea Perch","2019","Bulgaria",693,1536,2.22
"3143","Sea Perch","2019","Canada",14,171,12.21
"3144","Sea Perch","2019","China",383679,1412577,3.68095587717858
"3145","Sea Perch","2019","Georgia",2683,5553,2.07
"3146","Sea Perch","2019","Japan",133697,354099,2.65292893632617
"3147","Sea Perch","2019","Malaysia",10,49,4.9
"3148","Sea Perch","2019","Singapore",53,757,14.28
"3149","Sea Perch","2019","South Korea",13606,30684,2.26
"3150","Sea Perch","2019","Sweden",500,1912,3.82
"3151","Sea Perch","2019","Taiwan",10,74,7.4
"3152","Sea Perch","2019","Thailand",297,1493,5.03
"3153","Sea Perch","2019","Tonga",500,1400,2.8
"3154","Sea Perch","2019","Vietnam",24928,52907,2.11836890243902
"3155","Sea Perch","2019","Wallis & Futuna",540,3348,6.2
"3156","Sea Perch","2020","Australia",13509,37671,2.79
"3157","Sea Perch","2020","Bulgaria",957,2221,2.32
"3158","Sea Perch","2020","China",332949,1034564,3.10982826198607
"3159","Sea Perch","2020","Japan",28164,73591,2.61
"3160","Sea Perch","2020","Singapore",49,816,16.65
"3161","Sea Perch","2020","South Korea",29064,65863,2.27
"3162","Sea Perch","2020","Thailand",308,1116,3.62
"3163","Sea Perch","2021","Australia",10460,29342,2.81
"3164","Sea Perch","2021","China",107528,268749,2.50237445130571
"3165","Sea Perch","2021","Japan",11960,29951,2.5
"3166","Sea Perch","2021","Philippines",22,74,3.36
"3167","Sea Perch","2021","South Korea",58210,151859,2.61
"3168","Sea Perch","2021","Thailand",748,2035,2.72
"3169","Sea Perch","2021","United States",561,1698,3.03
"3170","Sea Perch","2021","Vietnam",180241,320058,1.77975593788317
"3171","Sea Perch","2022","Australia",12881,35591,2.76
"3172","Sea Perch","2022","China",203433,470544,2.31
"3173","Sea Perch","2022","Malaysia",18,26,1.44
"3174","Sea Perch","2022","Singapore",108,365,3.38
"3175","Sea Perch","2022","South Korea",5274,8402,1.59
"3176","Sea Perch","2022","Spain",1001,2978,2.98
"3177","Sea Perch","2022","Taiwan",5135,20618,4.02
"3178","Sea Perch","2022","Thailand",2356,6456,2.74
"3179","Sea Perch","2022","United States",1652,5256,3.18
"3180","Sea Perch","2022","Vietnam",158849,220877,1.39267669295998
"3181","Sea Urchins","2018","Australia",20484,1041391,50.8401684241359
"3182","Sea Urchins","2018","Cook Islands",16,1172,73.25
"3183","Sea Urchins","2018","Hong Kong",49,3524,71.92
"3184","Sea Urchins","2018","Italy",218,25529,117.11
"3185","Sea Urchins","2019","Australia",16168,940011,58.1404230578921
"3186","Sea Urchins","2019","Canada",10,165,16.5
"3187","Sea Urchins","2020","Australia",18040,1124294,62.3207455654102
"3188","Sea Urchins","2020","China",208,21152,101.69
"3189","Sea Urchins","2021","Australia",15119,1149423,76.0239936503737
"3190","Sea Urchins","2021","China",16,1192,74.5
"3191","Sea Urchins","2022","Australia",11118,1115657,100.348571685555
"3192","Sea Urchins","2022","Samoa",64,7520,117.5
"3193","Sharks & Dogfish","2018","Australia",1368902,14682629,10.725593482952
"3194","Sharks & Dogfish","2018","Bulgaria",1520,6072,3.99
"3195","Sharks & Dogfish","2018","China",30759,66459,2.15876166325303
"3196","Sharks & Dogfish","2018","France",9360,25931,2.77
"3197","Sharks & Dogfish","2018","French Polynesia",9085,74912,8.25
"3198","Sharks & Dogfish","2018","Germany",2360,3868,1.64
"3199","Sharks & Dogfish","2018","Hong Kong",4,144,36
"3200","Sharks & Dogfish","2018","Japan",42841,140178,3.27
"3201","Sharks & Dogfish","2018","Malaysia",11596,221876,19.1365988271818
"3202","Sharks & Dogfish","2018","Micronesia",531,3931,7.4
"3203","Sharks & Dogfish","2018","Norfolk Island",7,60,8.57
"3204","Sharks & Dogfish","2018","Palau",120,1367,11.39
"3205","Sharks & Dogfish","2018","Papua New Guinea",152,1670,10.99
"3206","Sharks & Dogfish","2018","Singapore",22437,281799,12.5603650220618
"3207","Sharks & Dogfish","2018","South Korea",83016,109753,1.31882914137034
"3208","Sharks & Dogfish","2018","Taiwan",1229,12792,10.41
"3209","Sharks & Dogfish","2018","Ukraine",48488,136901,2.82313190892592
"3210","Sharks & Dogfish","2018","Vanuatu",421,3707,8.81
